"Cliente","Strumento","Moneta","Saldo","NumeroValore","Nome","PrezzoMedio","PrezzoMercato","ValorePosizione","ValoreMonetaRiferimento","Evoluzione","Ordine","Categoria","ValoreMercatoMonetaCHF","ValoreMercatoMonetaEUR","ValoreMercatoMonetaUSD","ID_AAA","ID_strumento","ID_transazione","Ticker_indice_per_BETA","Valuta","VariazioneFX"
"pippo11","O      ","EUR",950,"2490099","20201231 - 0% <3Y - CB-Accent Lux Sicav - Fixed Income EUR 31-12-20",11333,11661,110779.5,133620.5933634,0.0289420277066972,"D ","Obbligazioni e simili          ",133620.5933634,110779.5,145619.65275,825,3,NA,NA,NA,NA
"pippo11","A","EUR",1000,"1469452EU","Kontron AG",6.73999977111816,6.168,6168,7439.7503136,-0.0848664377659569,"E","Azioni e simili",7439.7503136,6168,8107.836,1772,1,NA,NA,NA,NA
"pippo11","A","EUR",157,"1021903EU","Pictet SICAV Water P Cap",106.180000305176,160.47,25193.79,30388.376629908,0.511301559039248,"E","Azioni e simili",30388.376629908,25193.79,33117.236955,1840,14,NA,NA,NA,NA
"pippo11","A","EUR",180,"1335786EU","Sparinvest Sicav Global Value",105.019996643066,153.9,27702,33413.7424104,0.46543520205074,"E","Azioni e simili",33413.7424104,27702,36414.279,1841,14,NA,NA,NA,NA
"pippo11","Oacc","EUR",950,"2490099","20201231 - 0% <3Y - CB-Accent Lux Sicav - Fixed Income EUR 31-12-20 Pro-rata",NA,NA,0,0,NA,"D","Obbligazioni e simili          ",0,0,0,825,3,NA,NA,NA,NA
"pippo11","L","CHF",219365.039954224,"","CHF-16.4105.2120.001.01",NA,NA,219365.039954224,219365.039954224,NA,"A","Saldi in Cto. Corrente",219365.039954224,181866.797863399,239063.905791438,NA,40,NA,NA,NA,NA
"pippo11","L","EUR",32678.3407778931,"","EUR-16.4105.2120.814.01",NA,NA,32678.3407778931,39416.1310068511,NA,"A","Saldi in Cto. Corrente",39416.1310068511,32678.340777893,42955.6789525404,NA,40,NA,NA,NA,NA
"pippo11","L","USD",0,"","USD-16.4105.2120.333.01",NA,NA,0,0,NA,"A","Saldi in Cto. Corrente",0,0,0,NA,40,NA,NA,NA,NA
"pippo11","L","EUR",0,"","EUR-CallGeld J BAER-CALL GELD",NA,NA,0,0,NA,"A","Saldi in Cto. Corrente",0,0,0,NA,40,NA,NA,NA,NA
"pippo3","L","EUR",1185388.28364909,"","EUR-0456-389835-82",NA,NA,1185388.28364909,1185388.28364909,NA,"A","Saldi in Cto. Corrente",1429797.80399094,1185388.28364909,1558192.89885673,NA,40,NA,NA,NA,NA
"pippo3","L","CHF",460.790073000195,"","CHF-0456-389835-81-1",NA,NA,460.790073000195,382.02265539338,NA,"A","Saldi in Cto. Corrente",460.790073000195,382.02265539338,502.168780514598,NA,40,NA,NA,NA,NA
