"Cliente","Strumento","Moneta","Saldo","NumeroValore","Nome","PrezzoMedio","PrezzoMercato","ValorePosizione","ValoreMonetaRiferimento","Evoluzione","Ordine","Categoria","ValoreMercatoMonetaCHF","ValoreMercatoMonetaEUR","ValoreMercatoMonetaUSD","ID_AAA","ID_strumento","ID_transazione","Ticker_indice_per_BETA","Valuta","VariazioneFX"
"pippo75","A","EUR",3375,"1237582EU","Robeco NV",6.38974203604239,21.02,70942.5,70942.5,2.28964766987982,"E","Azioni e simili",94675.035700575,70942.5,99042.82425,1424,14,NA,NA,NA,NA
"pippo97","A","EUR",955,"1106818EU","Philips",29.5915289594241,23.105,22065.275,22065.275,-0.219202223998578,"E","Azioni e simili",29446.8153556472,22065.275,30805.3304275,766,1,NA,"SX5E.STX",NA,NA
"pippo16","A","EUR",1700,"827766EU","Siemens N eur",100,77.28,131376,131376,-0.2272,"E","Azioni e simili",175325.47471824,131376,183414.0336,879,1,NA,"SX5E.STX",NA,NA
"pippo124","A","EUR",150,"322378EU","Cominvest Fondak",75.0100021362305,97.05,14557.5,14557.5,0.293827452820776,"E","Azioni e simili",19427.449444425,14557.5,20323.72575,1877,1,NA,NA,NA,NA
"pippo124","A","EUR",1200,"4334819EU","E.ON",25.0100002288818,21.13,25356,25356,-0.155137952553921,"E","Azioni e simili",33838.39313844,25356,35399.5116,445,1,NA,"SX5E.STX",NA,NA
"pippo53","A","EUR",7500,"1093403EU","Prisa",15.2611999511719,1.81,13575,18116.27176425,-0.881398579024514,"E","Azioni e simili",18116.27176425,13575,18952.0575,1403,1,NA,NA,NA,NA
"pippo53","A","EUR",7200,"322646EU","ALLIANZ AG",128.478099466960,84.31,607032,810103.62295368,-0.343779209454435,"E","Azioni e simili",810103.62295368,607032,847477.3752,189,1,NA,"SX5E.STX",NA,NA
"pippo57","A","EUR",16143,"4334819EU","E.ON",12.8166668602490,21.13,341101.59,455210.983694864,0.648634565476211,"E","Azioni e simili",455210.983694864,341101.59,476211.929799,445,1,NA,"SX5E.STX",NA,NA
"pippo51","A","EUR",100,"827766EU","Siemens N eur",100,77.28,7728,7728,-0.2272,"E","Azioni e simili",10313.26321872,7728,10789.0608,879,1,NA,"SX5E.STX",NA,NA
"pippo132","A","EUR",2729.9,"230874EU","LODH Invest - The Europe Fund",8.3100004196167,5.99,16352.101,16352.101,-0.279181745182596,"E","Azioni e simili",21822.401888211,16352.101,22829.1682061,1436,14,NA,NA,NA,NA
"pippo132","A","EUR",203.68,"2570346EU","LODH Invest Euro Zone Small and Mid Caps",21.6152095794678,32.86,6692.9248,6692.9248,0.52022583353592,"E","Azioni e simili",8931.92225226435,6692.9248,9343.99231328,1873,14,NA,NA,NA,NA
"pippo120","A","EUR",55000,"1093403EU","Prisa",15.351828295621,1.81,99550,99550,-0.882098733444258,"E","Azioni e simili",132852.6596045,99550,138981.755,1403,1,NA,NA,NA,NA
"pippo71","A","EUR",2704,"1968401EU","UBS WM Global Property Fund EUR",9.7761001586914,6.4682,17490.0128,17490.0128,-0.338366025817619,"E","Azioni e simili",23340.9815871095,17490.0128,24417.80687008,1884,25,NA,NA,NA,NA
"pippo116","A","EUR",100,"827766EU","Siemens N eur",100,77.28,7728,7728,-0.2272,"E","Azioni e simili",10313.26321872,7728,10789.0608,879,1,NA,"SX5E.STX",NA,NA
"pippo69","A","EUR",3200,"827766EU","Siemens N eur",48.9300003051758,77.28,247296,330024.42299904,0.579399131780209,"E","Azioni e simili",330024.42299904,247296,345249.9456,879,1,NA,"SX5E.STX",NA,NA
"pippo116","A","EUR",70,"2459827EU","CL Infrastructure EF",132.630004882812,85.76,6003.2,6003.2,-0.353389151453514,"E","Azioni e simili",8011.462442368,6003.2,8381.06752,1739,14,NA,NA,NA,NA
"pippo53","A","EUR",4000,"1857493EU","Deutsche Postbank",63.9954986572266,25.005,100020,133479.8896398,-0.60926939355638,"E","Azioni e simili",133479.8896398,100020,139637.922,1526,1,NA,"SX5E.STX",NA,NA
"pippo15","A","EUR",1700,"827766EU","Siemens N eur",100,77.28,131376,131376,-0.2272,"E","Azioni e simili",175325.47471824,131376,183414.0336,879,1,NA,"SX5E.STX",NA,NA
"pippo26","A","EUR",200,"827766EU","Siemens N eur",100,77.28,15456,20626.52643744,-0.2272,"E","Azioni e simili",20626.52643744,15456,21578.1216,879,1,NA,"SX5E.STX",NA,NA
"pippo186","A","EUR",2000,"322646EU","ALLIANZ AG",85.9837265014648,84.31,168620,225028.7841538,-0.0194656194790107,"E","Azioni e simili",225028.7841538,168620,235410.382,189,1,NA,"SX5E.STX",NA,NA
"pippo172","A","EUR",200,"827766EU","Siemens N eur",100,77.28,15456,20626.52643744,-0.2272,"E","Azioni e simili",20626.52643744,15456,21578.1216,879,1,NA,"SX5E.STX",NA,NA
"pippo11","A","EUR",180,"1335786EU","Sparinvest Sicav Global Value",105.019996643066,154.25,27765,37053.28070235,0.468767900690881,"E","Azioni e simili",37053.28070235,27765,38762.7165,1841,14,NA,NA,NA,NA
"pippo11","A","EUR",1000,"1469452EU","Kontron AG",6.73999977111816,6.4,6400,8541.004736,-0.0504450716118878,"E","Azioni e simili",8541.004736,6400,8935.04,1772,1,NA,NA,NA,NA
